City,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h,SO2/h
永州,38,26,36,0.68,19,37,52,7
岳阳,53,36,52,0.74,28,45,76,8
玉林,35,17,34,0.58,19,33,57,7
榆林,56,22,59,0.9,54,50,84,19
运城,83,53,104,1.14,24,122,138,14
云浮,43,20,42,0.74,28,22,41,8
玉树藏族自治州,35,1,7,0.5,5,64,69,10
玉树州,35,15,34,0.9,24,24,24,21
玉溪,32,12,28,0.73,19,35,63,9
枣庄,119,39,96,0.67,28,140,179,19
张家港,70,33,55,0.55,26,88,122,8
张家界,32,8,24,0.34,9,47,63,2
张家口,40,15,29,0.26,14,63,79,6
章丘,91,50,130,1.0,56,39,75,18
张掖,87,57,122,0.55,45,28,63,14
漳州,33,17,32,0.53,25,35,43,4
湛江,66,47,70,0.67,15,68,78,9
肇庆,38,19,37,0.5,20,48,72,9
昭通,64,22,33,0.3,17,108,115,7
招远,89,35,56,0.65,17,105,145,5
郑州,112,23,58,0.55,25,118,172,8
镇江,117,41,73,0.7,37,108,177,8
中山,36,14,35,0.55,23,42,55,3
中卫,47,19,46,0.34,47,42,69,24
周口,119,22,44,0.78,18,149,179,7
舟山,71,19,29,0.63,9,89,124,4
珠海,34,11,33,0.52,5,54,56,5
诸暨,32,16,31,0.4,25,8,28,6
驻马店,50,35,48,0.42,35,54,92,9
株洲,43,22,38,0.69,21,47,84,5
淄博,125,66,108,0.69,35,149,186,14
自贡,74,53,87,0.68,38,59,71,6
资阳,54,30,55,0.55,32,63,94,7
遵义,39,23,35,0.61,23,56,76,6
